Company Name,Website,Payment Terms,Contact Info,Products,Verified
Beauty Express,https://www.beautyexpress.com,"Net 30, COD",Contact via website,,✓
CosmoProf,https://www.cosmoprofbeauty.com,"Net 30, Net 60",Contact via website,,✓
State Beauty Supply,https://www.statebeauty.com,"Net Terms, COD",Contact via website,,✓
